%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1555847859558701748,49,1403636581218881368,,4.75930233486,-1.83258241674,1.08057460501
1555847859582795981,50,1403636581316881179,,4.7601660229,-1.83146056654,1.1382204151
1555847859628123663,51,1403636581369881391,,4.7612933054,-1.83036896503,1.16247540845
1555847859677124001,52,1403636581417881250,,4.76291747561,-1.82978867159,1.18285997806
1555847859734666642,53,1403636581467881202,,4.76597097178,-1.82982746404,1.19702779883
1555847859803106517,54,1403636581520881175,,4.76929051188,-1.83066300715,1.20373127054
1555847860315361102,55,1403636582017881393,,4.78005414941,-1.82419315705,0.955955706672
1555847860439602765,56,1403636582120881319,,4.78149506206,-1.82543414571,0.891417545923
1555847860480575464,57,1403636582217881202,,4.77754117404,-1.82638649736,0.839981387411
1555847860524289796,58,1403636582270881175,,4.77742575996,-1.82775879586,0.819805124588
1555847860587379935,59,1403636582319881200,,4.77636058086,-1.82858460619,0.807076069818
1555847860656777433,60,1403636582368881225,,4.77804786692,-1.83066414476,0.801867315518
1555847861272961945,61,1403636582968881368,,4.76829347246,-1.828484513,1.11762596063
1555847861317084314,62,1403636583019881248,,4.76653380376,-1.82550239793,1.14971797088
1555847861360105280,63,1403636583066881179,,4.76807635426,-1.82364823108,1.1766975058
1555847861404322536,64,1403636583118881225,,4.77014996026,-1.82249657534,1.20176354803
1555847861448988420,65,1403636583169881343,,4.77255341304,-1.82195830967,1.22035279718
1555847861505675616,66,1403636583221881389,,4.77446942012,-1.82146414193,1.23177581317
1555847861550046180,67,1403636583268881320,,4.77581965764,-1.82123549227,1.23520319445
1555847862094019612,68,1403636583819881200,,4.77524120901,-1.81308349184,0.94286590672
1555847862207091254,69,1403636583918881177,,4.77505607564,-1.81132635349,0.883372285713
1555847862253812574,70,1403636583967881202,,4.77412827651,-1.81071584511,0.858219927165
1555847862297502983,71,1403636584018881320,,4.77487665775,-1.81143523188,0.834180686567
1555847862340290874,72,1403636584070881366,,4.77499663411,-1.81227255863,0.81440123328
1555847862387234046,73,1403636584118881225,,4.77563984919,-1.81345972165,0.799624030964
1555847862437666650,74,1403636584168881177,,4.77783423509,-1.81538598806,0.790184510169
1555847862502995308,75,1403636584219881296,,4.77895846002,-1.81695006458,0.787218393301
1555847863178888429,76,1403636584866881370,,4.75541313872,-1.81198401247,1.1471547451
1555847863222305711,77,1403636584966881275,,4.75652427221,-1.81349547696,1.20326792448
1555847863309959836,78,1403636585020881175,,4.75858146854,-1.81459978342,1.22674505715
1555847863354753126,79,1403636585068881273,,4.76019084645,-1.81559039284,1.24318450481
1555847863398823300,80,1403636585119881391,,4.7614062922,-1.81652079637,1.25260305136
1555847863442534855,81,1403636585170881271,,4.76135288107,-1.81692560373,1.25455546899
1555847864003145843,82,1403636585667881250,,4.76086240945,-1.80833024893,1.04344326695
1555847864046992154,83,1403636585767881393,,4.76318740204,-1.80515077846,1.00105425743
1555847864090982731,84,1403636585818881273,,4.76714862068,-1.80441064542,0.98514686284
1555847864133716637,85,1403636585867881298,,4.77222342493,-1.80465528489,0.973412054212
1555847864177680851,86,1403636585916881322,,4.77476548185,-1.80412375398,0.965464406467
1555847864222870637,87,1403636585967881202,,4.77850218939,-1.80424948516,0.960879894095
1555847864272405168,88,1403636586018881320,,4.78250335229,-1.80449246633,0.959052570477
1555847864354156131,89,1403636586068881273,,4.78652040414,-1.80534737086,0.959411052433
1555847864398926121,90,1403636586120881319,,4.78768497687,-1.80557011453,0.960953023999
1555847864443015418,91,1403636586169881343,,4.78770940758,-1.80613507761,0.963066838338
1555847864503563583,92,1403636586219881296,,4.78710777566,-1.80832809996,0.965087736949
1555847864547796520,93,1403636586268881320,,4.78611085266,-1.80920265081,0.968754523954
1555847864591568624,94,1403636586319881200,,4.78472182715,-1.81112850244,0.97250000479
1555847864640092594,95,1403636586368881225,,4.7843297604,-1.81310591977,0.975746898009
1555847864755187555,96,1403636586467881202,,4.78699518556,-1.81605801182,0.98088128955
1555847864795552772,97,1403636586518881320,,4.78913029228,-1.8166657956,0.982874213527
1555847864838660409,98,1403636586567881345,,4.79231429947,-1.81723985304,0.984515925073
1555847864887555924,99,1403636586617881298,,4.79468544656,-1.81708787363,0.986042030804
1555847864936376364,100,1403636586666881322,,4.79831279187,-1.81652811147,0.987830253554
1555847865002744083,101,1403636586718881368,,4.80139114649,-1.81470404019,0.990079431619
1555847865090851013,102,1403636586766881227,,4.80483440843,-1.81191611751,0.992368464901
1555847865137273242,103,1403636586817881345,,4.80774491995,-1.80776737591,0.994974475974
1555847865187614775,104,1403636586866881370,,4.81050525717,-1.80376498226,0.996731344619
1555847865254173678,105,1403636586967881202,,4.81314642976,-1.7943608809,0.998626545757
1555847865298247071,106,1403636587019881248,,4.81326288552,-1.79107644563,0.998293889321
1555847865342589904,107,1403636587069881200,,4.81275613744,-1.78939702136,0.997724459989
1555847865440215863,108,1403636587121881246,,4.80934599092,-1.78699155295,0.997567157534
1555847865505985136,109,1403636587221881389,,4.80527784857,-1.78352478329,0.997602203046
1555847865550741089,110,1403636587269881248,,4.80300965956,-1.78103882913,0.997838590393
1555847865593581915,111,1403636587321881294,,4.80121639358,-1.77715301811,0.99766419863
1555847865640704701,112,1403636587369881391,,4.79990620574,-1.77192704069,0.997395058228
1555847865688926428,113,1403636587420881271,,4.79930772756,-1.76465731436,0.996781922451
1555847865839768805,114,1403636587521881341,,4.79603281554,-1.74420296596,0.996254301532
1555847865887239029,115,1403636587566881179,,4.79679530032,-1.73314640446,0.995884282616
1555847865937939339,116,1403636587621881246,,4.79972392512,-1.71890183011,0.995317721434
1555847866003985173,117,1403636587718881368,,4.80534290777,-1.68794816767,0.995043605894
1555847866090485683,118,1403636587817881345,,4.81422996506,-1.65341708958,0.995845269746
1555847866186743671,119,1403636587869881391,,4.81686044046,-1.63361302601,0.996980540912
1555847866252525577,120,1403636587967881202,,4.82663613326,-1.59846782337,0.998095587536
1555847866297547128,121,1403636588018881320,,4.8314456757,-1.5804701558,0.997552836983
1555847866341174297,122,1403636588068881273,,4.83583926531,-1.56332188867,0.996339146611
1555847866387500972,123,1403636588117881298,,4.8396873661,-1.54753996172,0.994704195362
1555847866441499886,124,1403636588167881250,,4.84324881788,-1.53238307996,0.992743484309
1555847866539759250,125,1403636588221881389,,4.84560238156,-1.51750530797,0.990623333411
1555847866590156779,126,1403636588270881175,,4.84897745941,-1.5057719391,0.987927871702
1555847866640543665,127,1403636588320881366,,4.85191122438,-1.49545207965,0.985480848798
1555847866689884949,128,1403636588422881364,,4.85600139653,-1.48064815362,0.981269908814
1555847866753881700,129,1403636588470881223,,4.85806152694,-1.47678981169,0.979724219
1555847866840021254,130,1403636588567881345,,4.86041649661,-1.47523647993,0.977691221495
1555847866936904463,131,1403636588621881246,,4.86070919676,-1.4776044682,0.977331655678
1555847867003151815,132,1403636588718881368,,4.85878463489,-1.48822280225,0.979796947949
1555847867047098611,133,1403636588767881393,,4.8574880316,-1.49656827473,0.981813478469
1555847867091788640,134,1403636588818881273,,4.85551950548,-1.50696763638,0.983645353329
1555847867136792683,135,1403636588867881298,,4.85406399029,-1.51879741711,0.984825044623
1555847867186596354,136,1403636588918881177,,4.85098864372,-1.53216420477,0.98551435338
1555847867253865267,137,1403636588968881368,,4.84843101374,-1.5469158141,0.985667004546
1555847867340765790,138,1403636589019881248,,4.84521546524,-1.56357228333,0.985836718474
1555847867385631417,139,1403636589069881200,,4.84066484126,-1.58111973473,0.986682602759
1555847867436694126,140,1403636589167881250,,4.83247392413,-1.61968863927,0.989866132814
1555847867502264087,141,1403636589218881368,,4.82845219816,-1.64180617445,0.992362197309
1555847867547030451,142,1403636589268881320,,4.82427129361,-1.66416306906,0.995121546672
1555847867590002740,143,1403636589316881179,,4.8193374412,-1.68538999044,0.998105096811
1555847867687001099,144,1403636589366881370,,4.81492595284,-1.70777606441,1.00077011947
1555847867752827783,145,1403636589467881202,,4.80282161027,-1.75440057761,1.00471594994
1555847867797678517,146,1403636589517881393,,4.79549987144,-1.77743345897,1.00552069684
1555847867840759471,147,1403636589568881273,,4.78892923531,-1.80089882596,1.00596001516
1555847867888778977,148,1403636589619881391,,4.78225986091,-1.82427438251,1.00630604747
1555847867938354461,149,1403636589667881250,,4.77571126122,-1.8469168868,1.00626637434
1555847868002371514,150,1403636589716881275,,4.7728313992,-1.87077787075,1.00570255787
1555847868046493798,151,1403636589768881320,,4.76593906225,-1.89365563198,1.00547256525
1555847868093817879,152,1403636589819881200,,4.7598683234,-1.91685148805,1.00510575067
1555847868138667472,153,1403636589868881225,,4.7544118749,-1.93817513797,1.00444830614
1555847868186024394,154,1403636589919881343,,4.74832933911,-1.96059173175,1.0030760657
1555847868256370598,155,1403636589967881202,,4.74265239642,-1.98150137437,1.00063878066
